발행회차,발행일자,기준월,평균 LTV,평균 DTI,조기상환율
KHFCMB2022S-13,2022-06-28,2022-06,58.81,27.63,0.2359
KHFCMB2022S-12,2022-06-21,2022-06,64.02,32.01,0.2903
KHFCMB2022S-11,2022-06-10,2022-06,60.47,29.01,0.2994
KHFCMB2022S-10,2022-05-24,2022-06,59.84,29.35,0.3491
KHFCMB2022S-10,2022-05-24,2022-05,59.81,29.34,0.2421
KHFCMB2022S-09,2022-05-13,2022-06,61.44,29.19,0.2224
KHFCMB2022S-09,2022-05-13,2022-05,61.42,29.19,0.1486
KHFCMB2022S-08,2022-04-26,2022-06,60.91,28.41,0.2182
KHFCMB2022S-08,2022-04-26,2022-05,60.89,28.43,0.1917
KHFCMB2022S-08,2022-04-26,2022-04,60.89,28.44,0.3003
KHFCMB2022S-07,2022-04-19,2022-06,60.34,29.55,0.3093
KHFCMB2022S-07,2022-04-19,2022-05,60.32,29.54,0.259
KHFCMB2022S-07,2022-04-19,2022-04,60.32,29.55,0.4167
KHFCMB2022S-06,2022-04-08,2022-06,60.57,28.12,0.114
KHFCMB2022S-06,2022-04-08,2022-05,60.57,28.12,0.0997
KHFCMB2022S-06,2022-04-08,2022-04,60.56,28.13,0.2111
KHFCMB2022S-05,2022-03-29,2022-06,61.56,28.08,0.1273
KHFCMB2022S-05,2022-03-29,2022-05,61.54,28.09,0.1331
KHFCMB2022S-05,2022-03-29,2022-04,61.53,28.08,0.1463
KHFCMB2022S-05,2022-03-29,2022-03,61.52,28.09,0.0362
KHFCMB2022S-04,2022-03-15,2022-06,61.14,28.72,0.1651
KHFCMB2022S-04,2022-03-15,2022-05,61.13,28.72,0.0997
KHFCMB2022S-04,2022-03-15,2022-04,61.13,28.72,0.3287
KHFCMB2022S-04,2022-03-15,2022-03,61.11,28.74,0.3061
KHFCMB2022S-03,2022-02-22,2022-06,60.35,28.14,0.1258
KHFCMB2022S-03,2022-02-22,2022-05,60.34,28.15,0.1579
KHFCMB2022S-03,2022-02-22,2022-04,60.33,28.15,0.1823
KHFCMB2022S-03,2022-02-22,2022-03,60.32,28.14,0.2912
KHFCMB2022S-03,2022-02-22,2022-02,60.32,28.15,0.1506
KHFCMB2022S-02,2022-02-11,2022-06,59.28,27.83,0.2331
KHFCMB2022S-02,2022-02-11,2022-05,59.27,27.83,0.2138
KHFCMB2022S-02,2022-02-11,2022-04,59.25,27.83,0.1563
KHFCMB2022S-02,2022-02-11,2022-03,59.25,27.83,0.1775
KHFCMB2022S-02,2022-02-11,2022-02,59.24,27.84,0.2133
KHFCMB2022S-01,2022-01-21,2022-06,59.35,27.74,0.117
KHFCMB2022S-01,2022-01-21,2022-05,59.35,27.74,0.2073
KHFCMB2022S-01,2022-01-21,2022-04,59.34,27.75,0.1769
KHFCMB2022S-01,2022-01-21,2022-03,59.33,27.76,0.323
KHFCMB2022S-01,2022-01-21,2022-02,59.32,27.76,0.2741
KHFCMB2022S-01,2022-01-21,2022-01,59.3,27.76,0.1869
KHFCMB2021S-26,2021-12-14,2022-06,61.08,27.92,0.2272
KHFCMB2021S-26,2021-12-14,2022-05,61.08,27.94,0.0899
KHFCMB2021S-26,2021-12-14,2022-04,61.07,27.94,0.1332
KHFCMB2021S-26,2021-12-14,2022-03,61.06,27.94,0.2266
KHFCMB2021S-26,2021-12-14,2022-02,61.04,27.95,0.2077
KHFCMB2021S-26,2021-12-14,2022-01,61.04,27.94,0.3319
KHFCMB2021S-26,2021-12-14,2021-12,61.03,27.93,0.2407
KHFCMB2021S-25,2021-12-03,2022-06,61.54,29.07,0.4068
KHFCMB2021S-25,2021-12-03,2022-05,61.53,29.08,0.2943
KHFCMB2021S-25,2021-12-03,2022-04,61.51,29.08,0.2975
KHFCMB2021S-25,2021-12-03,2022-03,61.48,29.08,0.2882
KHFCMB2021S-25,2021-12-03,2022-02,61.47,29.09,0.3821
KHFCMB2021S-25,2021-12-03,2022-01,61.46,29.11,0.3634
KHFCMB2021S-25,2021-12-03,2021-12,61.44,29.11,0.4243
KHFCMB2021S-24,2021-11-19,2022-06,60.67,28.33,0.2538
KHFCMB2021S-24,2021-11-19,2022-05,60.66,28.34,0.2253
KHFCMB2021S-24,2021-11-19,2022-04,60.66,28.35,0.193
KHFCMB2021S-24,2021-11-19,2022-03,60.65,28.36,0.2325
KHFCMB2021S-24,2021-11-19,2022-02,60.65,28.36,0.2457
KHFCMB2021S-24,2021-11-19,2022-01,60.63,28.36,0.2527
KHFCMB2021S-24,2021-11-19,2021-12,60.62,28.37,0.327
KHFCMB2021S-24,2021-11-19,2021-11,60.61,28.39,0.189
KHFCMB2021S-23,2021-10-22,2022-06,60.93,28.48,0.3286
KHFCMB2021S-23,2021-10-22,2022-05,60.92,28.48,0.2539
KHFCMB2021S-23,2021-10-22,2022-04,60.91,28.48,0.252
KHFCMB2021S-23,2021-10-22,2022-03,60.91,28.48,0.2985
KHFCMB2021S-23,2021-10-22,2022-02,60.9,28.48,0.3515
KHFCMB2021S-23,2021-10-22,2022-01,60.9,28.49,0.3134
KHFCMB2021S-23,2021-10-22,2021-12,60.9,28.49,0.3746
KHFCMB2021S-23,2021-10-22,2021-11,60.9,28.49,0.3372
KHFCMB2021S-23,2021-10-22,2021-10,60.88,28.5,0.2235
KHFCMB2021S-22,2021-10-15,2022-06,66.98,32.35,2.1699
KHFCMB2021S-22,2021-10-15,2022-05,67.03,32.51,0.7063
KHFCMB2021S-22,2021-10-15,2022-04,67.04,32.56,0.9265
KHFCMB2021S-22,2021-10-15,2022-03,67.0,32.51,1.1802
KHFCMB2021S-22,2021-10-15,2022-02,67.01,32.49,1.2308
KHFCMB2021S-22,2021-10-15,2022-01,67.03,32.51,1.2582
KHFCMB2021S-22,2021-10-15,2021-12,67.01,32.51,0.3223
KHFCMB2021S-22,2021-10-15,2021-11,66.98,32.45,1.7897
KHFCMB2021S-22,2021-10-15,2021-10,66.99,32.56,1.1344
KHFCMB2021S-21,2021-09-17,2022-06,63.69,33.14,0.6108
KHFCMB2021S-21,2021-09-17,2022-05,63.68,33.13,0.526
KHFCMB2021S-21,2021-09-17,2022-04,63.68,33.14,0.5536
KHFCMB2021S-21,2021-09-17,2022-03,63.67,33.14,0.635
KHFCMB2021S-21,2021-09-17,2022-02,63.66,33.16,0.7305
KHFCMB2021S-21,2021-09-17,2022-01,63.65,33.12,0.7867
KHFCMB2021S-21,2021-09-17,2021-12,63.62,33.1,0.7528
KHFCMB2021S-21,2021-09-17,2021-11,63.61,33.1,0.9129
KHFCMB2021S-21,2021-09-17,2021-10,63.61,33.11,0.5965
KHFCMB2021S-21,2021-09-17,2021-09,63.6,33.08,0.4676
KHFCMB2021S-20,2021-09-03,2022-06,61.49,27.76,0.2873
KHFCMB2021S-20,2021-09-03,2022-05,61.49,27.76,0.2186
KHFCMB2021S-20,2021-09-03,2022-04,61.48,27.77,0.2086
KHFCMB2021S-20,2021-09-03,2022-03,61.47,27.77,0.2628
KHFCMB2021S-20,2021-09-03,2022-02,61.46,27.77,0.2236
KHFCMB2021S-20,2021-09-03,2022-01,61.45,27.78,0.367
KHFCMB2021S-20,2021-09-03,2021-12,61.44,27.79,0.2279
KHFCMB2021S-20,2021-09-03,2021-11,61.43,27.81,0.3817
KHFCMB2021S-20,2021-09-03,2021-10,61.43,27.83,0.2681
KHFCMB2021S-20,2021-09-03,2021-09,61.42,27.83,0.3954
KHFCMB2021S-19,2021-08-27,2022-06,52.37,31.76,0.3868
KHFCMB2021S-19,2021-08-27,2022-05,52.34,31.72,0.1054
KHFCMB2021S-19,2021-08-27,2022-04,52.33,31.71,0.3619
KHFCMB2021S-19,2021-08-27,2022-03,52.36,31.7,0.6093
KHFCMB2021S-19,2021-08-27,2022-02,52.36,31.67,0.0329
KHFCMB2021S-19,2021-08-27,2022-01,52.37,31.67,0.1477
KHFCMB2021S-19,2021-08-27,2021-12,52.37,31.66,0.3763
KHFCMB2021S-19,2021-08-27,2021-11,52.38,31.65,1.4407
KHFCMB2021S-19,2021-08-27,2021-10,52.49,31.63,1.3756
KHFCMB2021S-19,2021-08-27,2021-09,52.54,31.64,2.7806
KHFCMB2021S-19,2021-08-27,2021-08,52.69,31.74,2.17
KHFCMB2021S-18,2021-08-20,2022-06,59.9,27.41,0.3828
KHFCMB2021S-18,2021-08-20,2022-05,59.89,27.41,0.3175
KHFCMB2021S-18,2021-08-20,2022-04,59.88,27.41,0.409
KHFCMB2021S-18,2021-08-20,2022-03,59.86,27.42,0.2437
KHFCMB2021S-18,2021-08-20,2022-02,59.85,27.42,0.3007
KHFCMB2021S-18,2021-08-20,2022-01,59.84,27.42,0.2626
KHFCMB2021S-18,2021-08-20,2021-12,59.83,27.44,0.2658
KHFCMB2021S-18,2021-08-20,2021-11,59.82,27.44,0.2964
KHFCMB2021S-18,2021-08-20,2021-10,59.82,27.45,0.3122
KHFCMB2021S-18,2021-08-20,2021-09,59.81,27.46,0.3383
KHFCMB2021S-18,2021-08-20,2021-08,59.8,27.47,0.3559
KHFCMB2021S-17,2021-08-06,2022-06,59.69,28.05,0.2605
KHFCMB2021S-17,2021-08-06,2022-05,59.69,28.05,0.2568
KHFCMB2021S-17,2021-08-06,2022-04,59.68,28.05,0.2201
KHFCMB2021S-17,2021-08-06,2022-03,59.67,28.05,0.2837
KHFCMB2021S-17,2021-08-06,2022-02,59.67,28.06,0.2576
KHFCMB2021S-17,2021-08-06,2022-01,59.66,28.06,0.2733
KHFCMB2021S-17,2021-08-06,2021-12,59.66,28.08,0.2433
KHFCMB2021S-17,2021-08-06,2021-11,59.65,28.1,0.3302
KHFCMB2021S-17,2021-08-06,2021-10,59.64,28.11,0.2483
KHFCMB2021S-17,2021-08-06,2021-09,59.64,28.11,0.3165
KHFCMB2021S-17,2021-08-06,2021-08,59.63,28.11,0.3377
KHFCMB2021S-16,2021-07-23,2022-06,58.85,27.16,0.2865
KHFCMB2021S-16,2021-07-23,2022-05,58.83,27.16,0.1184
KHFCMB2021S-16,2021-07-23,2022-04,58.82,27.16,0.2317
KHFCMB2021S-16,2021-07-23,2022-03,58.81,27.16,0.1397
KHFCMB2021S-16,2021-07-23,2022-02,58.8,27.16,0.2679
KHFCMB2021S-16,2021-07-23,2022-01,58.81,27.16,0.2597
KHFCMB2021S-16,2021-07-23,2021-12,58.81,27.15,0.2801
KHFCMB2021S-16,2021-07-23,2021-11,58.78,27.15,0.2158
KHFCMB2021S-16,2021-07-23,2021-10,58.76,27.16,0.2987
KHFCMB2021S-16,2021-07-23,2021-09,58.75,27.17,0.1345
KHFCMB2021S-16,2021-07-23,2021-08,58.73,27.16,0.2583
KHFCMB2021S-16,2021-07-23,2021-07,58.72,27.17,0.1799
KHFCMB2021S-15,2021-07-09,2022-06,58.73,27.57,0.2968
KHFCMB2021S-15,2021-07-09,2022-05,58.72,27.56,0.317
KHFCMB2021S-15,2021-07-09,2022-04,58.71,27.56,0.1735
KHFCMB2021S-15,2021-07-09,2022-03,58.71,27.56,0.225
KHFCMB2021S-15,2021-07-09,2022-02,58.7,27.55,0.2322
KHFCMB2021S-15,2021-07-09,2022-01,58.68,27.56,0.1825
KHFCMB2021S-15,2021-07-09,2021-12,58.67,27.56,0.2371
KHFCMB2021S-15,2021-07-09,2021-11,58.67,27.56,0.2564
KHFCMB2021S-15,2021-07-09,2021-10,58.65,27.56,0.2298
KHFCMB2021S-15,2021-07-09,2021-09,58.65,27.58,0.2686
KHFCMB2021S-15,2021-07-09,2021-08,58.63,27.58,0.2861
KHFCMB2021S-15,2021-07-09,2021-07,58.62,27.58,0.3085
KHFCMB2021S-14,2021-06-25,2022-06,56.32,27.71,0.2053
KHFCMB2021S-14,2021-06-25,2022-05,56.31,27.71,0.1766
KHFCMB2021S-14,2021-06-25,2022-04,56.31,27.71,0.1584
KHFCMB2021S-14,2021-06-25,2022-03,56.3,27.72,0.2911
KHFCMB2021S-14,2021-06-25,2022-02,56.3,27.73,0.1702
KHFCMB2021S-14,2021-06-25,2022-01,56.28,27.73,0.1803
KHFCMB2021S-14,2021-06-25,2021-12,56.28,27.72,0.1468
KHFCMB2021S-14,2021-06-25,2021-11,56.28,27.73,0.192
KHFCMB2021S-14,2021-06-25,2021-10,56.27,27.74,0.1752
KHFCMB2021S-14,2021-06-25,2021-09,56.27,27.74,0.1652
KHFCMB2021S-14,2021-06-25,2021-08,56.25,27.74,0.275
KHFCMB2021S-14,2021-06-25,2021-07,56.24,27.74,0.3607
KHFCMB2021S-14,2021-06-25,2021-06,56.24,27.74,0.1304
KHFCMB2021S-13,2021-06-15,2022-06,59.06,27.22,0.2494
KHFCMB2021S-13,2021-06-15,2022-05,59.05,27.23,0.2524
KHFCMB2021S-13,2021-06-15,2022-04,59.04,27.24,0.2034
KHFCMB2021S-13,2021-06-15,2022-03,59.04,27.25,0.3108
KHFCMB2021S-13,2021-06-15,2022-02,59.03,27.25,0.3038
KHFCMB2021S-13,2021-06-15,2022-01,59.03,27.26,0.1928
KHFCMB2021S-13,2021-06-15,2021-12,59.02,27.26,0.2029
KHFCMB2021S-13,2021-06-15,2021-11,59.01,27.26,0.1916
KHFCMB2021S-13,2021-06-15,2021-10,58.99,27.27,0.248
KHFCMB2021S-13,2021-06-15,2021-09,58.99,27.28,0.1999
KHFCMB2021S-13,2021-06-15,2021-08,58.97,27.29,0.2089
KHFCMB2021S-13,2021-06-15,2021-07,58.95,27.29,0.3328
KHFCMB2021S-13,2021-06-15,2021-06,58.94,27.3,0.1935
KHFCMB2021S-12,2021-05-25,2022-06,58.54,27.32,0.1876
KHFCMB2021S-12,2021-05-25,2022-05,58.53,27.31,0.1588
KHFCMB2021S-12,2021-05-25,2022-04,58.53,27.31,0.1579
KHFCMB2021S-12,2021-05-25,2022-03,58.52,27.31,0.1394
KHFCMB2021S-12,2021-05-25,2022-02,58.52,27.3,0.2233
KHFCMB2021S-12,2021-05-25,2022-01,58.51,27.3,0.1915
KHFCMB2021S-12,2021-05-25,2021-12,58.5,27.3,0.2085
KHFCMB2021S-12,2021-05-25,2021-11,58.48,27.3,0.2316
KHFCMB2021S-12,2021-05-25,2021-10,58.47,27.3,0.2404
KHFCMB2021S-12,2021-05-25,2021-09,58.46,27.29,0.197
KHFCMB2021S-12,2021-05-25,2021-08,58.45,27.29,0.2705
KHFCMB2021S-12,2021-05-25,2021-07,58.44,27.28,0.1647
KHFCMB2021S-12,2021-05-25,2021-06,58.44,27.26,0.2094
KHFCMB2021S-11,2021-05-14,2022-06,57.5,27.08,0.1855
KHFCMB2021S-11,2021-05-14,2022-05,57.5,27.07,0.2311
KHFCMB2021S-11,2021-05-14,2022-04,57.47,27.06,0.2335
KHFCMB2021S-11,2021-05-14,2022-03,57.46,27.06,0.2351
KHFCMB2021S-11,2021-05-14,2022-02,57.46,27.05,0.1761
KHFCMB2021S-11,2021-05-14,2022-01,57.45,27.05,0.3116
KHFCMB2021S-11,2021-05-14,2021-12,57.42,27.04,0.2705
KHFCMB2021S-11,2021-05-14,2021-11,57.4,27.03,0.2918
KHFCMB2021S-11,2021-05-14,2021-10,57.37,27.03,0.225
KHFCMB2021S-11,2021-05-14,2021-09,57.35,27.05,0.1414
KHFCMB2021S-11,2021-05-14,2021-08,57.34,27.04,0.2667
KHFCMB2021S-11,2021-05-14,2021-07,57.32,27.03,0.3175
KHFCMB2021S-11,2021-05-14,2021-06,57.32,27.04,0.1552
KHFCMB2021S-10,2021-05-07,2022-06,55.99,27.02,0.1869
KHFCMB2021S-10,2021-05-07,2022-05,55.97,27.02,0.1879
KHFCMB2021S-10,2021-05-07,2022-04,55.96,27.01,0.2249
KHFCMB2021S-10,2021-05-07,2022-03,55.95,27.01,0.2348
KHFCMB2021S-10,2021-05-07,2022-02,55.95,27.01,0.2848
KHFCMB2021S-10,2021-05-07,2022-01,55.94,27.02,0.2468
KHFCMB2021S-10,2021-05-07,2021-12,55.94,27.02,0.2256
KHFCMB2021S-10,2021-05-07,2021-11,55.93,27.02,0.2308
KHFCMB2021S-10,2021-05-07,2021-10,55.93,27.02,0.1924
KHFCMB2021S-10,2021-05-07,2021-09,55.93,27.01,0.3179
KHFCMB2021S-10,2021-05-07,2021-08,55.92,27.02,0.2295
KHFCMB2021S-10,2021-05-07,2021-07,55.9,27.02,0.2425
KHFCMB2021S-10,2021-05-07,2021-06,55.89,27.01,0.2263
KHFCMB2021S-09,2021-04-23,2022-06,57.26,27.33,0.1843
KHFCMB2021S-09,2021-04-23,2022-05,57.25,27.32,0.2564
KHFCMB2021S-09,2021-04-23,2022-04,57.24,27.31,0.1762
KHFCMB2021S-09,2021-04-23,2022-03,57.23,27.31,0.2117
KHFCMB2021S-09,2021-04-23,2022-02,57.22,27.31,0.177
KHFCMB2021S-09,2021-04-23,2022-01,57.21,27.31,0.2096
KHFCMB2021S-09,2021-04-23,2021-12,57.21,27.31,0.2781
KHFCMB2021S-09,2021-04-23,2021-11,57.19,27.31,0.2249
KHFCMB2021S-09,2021-04-23,2021-10,57.18,27.31,0.1878
KHFCMB2021S-09,2021-04-23,2021-09,57.17,27.31,0.2447
KHFCMB2021S-09,2021-04-23,2021-08,57.15,27.31,0.2619
KHFCMB2021S-09,2021-04-23,2021-07,57.13,27.31,0.1992
KHFCMB2021S-09,2021-04-23,2021-06,57.12,27.31,0.2476
KHFCMB2021S-08,2021-04-13,2022-06,58.72,27.03,0.1964
KHFCMB2021S-08,2021-04-13,2022-05,58.71,27.04,0.2003
KHFCMB2021S-08,2021-04-13,2022-04,58.71,27.04,0.1355
KHFCMB2021S-08,2021-04-13,2022-03,58.69,27.03,0.2125
KHFCMB2021S-08,2021-04-13,2022-02,58.68,27.04,0.2839
KHFCMB2021S-08,2021-04-13,2022-01,58.68,27.05,0.2748
KHFCMB2021S-08,2021-04-13,2021-12,58.67,27.05,0.3359
KHFCMB2021S-08,2021-04-13,2021-11,58.66,27.06,0.2044
KHFCMB2021S-08,2021-04-13,2021-10,58.63,27.06,0.285
KHFCMB2021S-08,2021-04-13,2021-09,58.62,27.05,0.2321
KHFCMB2021S-08,2021-04-13,2021-08,58.61,27.06,0.1795
KHFCMB2021S-08,2021-04-13,2021-07,58.59,27.07,0.2179
KHFCMB2021S-08,2021-04-13,2021-06,58.59,27.07,0.2293
KHFCMB2021S-07,2021-04-02,2022-06,59.95,26.56,0.1886
KHFCMB2021S-07,2021-04-02,2022-05,59.94,26.57,0.1819
KHFCMB2021S-07,2021-04-02,2022-04,59.93,26.56,0.1112
KHFCMB2021S-07,2021-04-02,2022-03,59.93,26.56,0.2621
KHFCMB2021S-07,2021-04-02,2022-02,59.91,26.56,0.2918
KHFCMB2021S-07,2021-04-02,2022-01,59.91,26.56,0.2017
KHFCMB2021S-07,2021-04-02,2021-12,59.9,26.57,0.2736
KHFCMB2021S-07,2021-04-02,2021-11,59.88,26.56,0.2064
KHFCMB2021S-07,2021-04-02,2021-10,59.85,26.55,0.2379
KHFCMB2021S-07,2021-04-02,2021-09,59.84,26.56,0.1798
KHFCMB2021S-07,2021-04-02,2021-08,59.83,26.55,0.2778
KHFCMB2021S-07,2021-04-02,2021-07,59.81,26.55,0.1455
KHFCMB2021S-07,2021-04-02,2021-06,59.8,26.55,0.1697
KHFCMB2021S-06,2021-03-26,2022-06,57.8,27.01,0.3053
KHFCMB2021S-06,2021-03-26,2022-05,57.8,27.02,0.1856
KHFCMB2021S-06,2021-03-26,2022-04,57.8,27.02,0.1567
KHFCMB2021S-06,2021-03-26,2022-03,57.8,27.02,0.2556
KHFCMB2021S-06,2021-03-26,2022-02,57.79,27.02,0.2919
KHFCMB2021S-06,2021-03-26,2022-01,57.79,27.02,0.2365
KHFCMB2021S-06,2021-03-26,2021-12,57.78,27.02,0.3481
KHFCMB2021S-06,2021-03-26,2021-11,57.79,27.02,0.3547
KHFCMB2021S-06,2021-03-26,2021-10,57.77,27.02,0.2557
KHFCMB2021S-06,2021-03-26,2021-09,57.75,27.01,0.3033
KHFCMB2021S-06,2021-03-26,2021-08,57.74,27.01,0.3034
KHFCMB2021S-06,2021-03-26,2021-07,57.74,27.01,0.2828
KHFCMB2021S-06,2021-03-26,2021-06,57.72,27.02,0.2495
KHFCMB2021S-06,2021-03-26,2021-03,57.7,27.0,0.12
KHFCMB2021S-05,2021-03-12,2022-06,58.81,27.21,0.3481
KHFCMB2021S-05,2021-03-12,2022-05,58.81,27.21,0.2195
KHFCMB2021S-05,2021-03-12,2022-04,58.8,27.21,0.2217
KHFCMB2021S-05,2021-03-12,2022-03,58.79,27.22,0.244
KHFCMB2021S-05,2021-03-12,2022-02,58.78,27.23,0.264
KHFCMB2021S-05,2021-03-12,2022-01,58.77,27.23,0.2316
KHFCMB2021S-05,2021-03-12,2021-12,58.75,27.22,0.3472
KHFCMB2021S-05,2021-03-12,2021-11,58.74,27.24,0.3354
KHFCMB2021S-05,2021-03-12,2021-10,58.71,27.25,0.2542
KHFCMB2021S-05,2021-03-12,2021-09,58.7,27.24,0.2873
KHFCMB2021S-05,2021-03-12,2021-08,58.69,27.24,0.303
KHFCMB2021S-05,2021-03-12,2021-07,58.67,27.25,0.3869
KHFCMB2021S-05,2021-03-12,2021-06,58.66,27.25,0.2984
KHFCMB2021S-05,2021-03-12,2021-03,58.63,27.27,0.26
KHFCMB2021S-04,2021-02-19,2022-06,58.79,26.73,0.1672
KHFCMB2021S-04,2021-02-19,2022-05,58.78,26.73,0.1193
KHFCMB2021S-04,2021-02-19,2022-04,58.76,26.73,0.2715
KHFCMB2021S-04,2021-02-19,2022-03,58.73,26.73,0.2198
KHFCMB2021S-04,2021-02-19,2022-02,58.73,26.73,0.212
KHFCMB2021S-04,2021-02-19,2022-01,58.73,26.73,0.2267
KHFCMB2021S-04,2021-02-19,2021-12,58.72,26.72,0.2101
KHFCMB2021S-04,2021-02-19,2021-11,58.7,26.72,0.3666
KHFCMB2021S-04,2021-02-19,2021-10,58.69,26.73,0.3103
KHFCMB2021S-04,2021-02-19,2021-09,58.68,26.72,0.3294
KHFCMB2021S-04,2021-02-19,2021-08,58.66,26.71,0.1541
KHFCMB2021S-04,2021-02-19,2021-07,58.65,26.71,0.4923
KHFCMB2021S-04,2021-02-19,2021-06,58.6,26.7,0.3309
KHFCMB2021S-04,2021-02-19,2021-03,58.55,26.68,0.21
KHFCMB2021S-04,2021-02-19,2021-02,58.54,26.68,0.17
KHFCMB2021S-03,2021-02-05,2022-06,58.8,26.95,0.3332
KHFCMB2021S-03,2021-02-05,2022-05,58.8,26.94,0.2381
KHFCMB2021S-03,2021-02-05,2022-04,58.79,26.94,0.2563
KHFCMB2021S-03,2021-02-05,2022-03,58.77,26.95,0.2467
KHFCMB2021S-03,2021-02-05,2022-02,58.76,26.96,0.3009
KHFCMB2021S-03,2021-02-05,2022-01,58.75,26.97,0.254
KHFCMB2021S-03,2021-02-05,2021-12,58.74,26.97,0.322
KHFCMB2021S-03,2021-02-05,2021-11,58.74,26.97,0.3454
KHFCMB2021S-03,2021-02-05,2021-10,58.71,26.96,0.3936
KHFCMB2021S-03,2021-02-05,2021-09,58.71,26.98,0.228
KHFCMB2021S-03,2021-02-05,2021-08,58.7,26.98,0.4036
KHFCMB2021S-03,2021-02-05,2021-07,58.69,26.99,0.3087
KHFCMB2021S-03,2021-02-05,2021-06,58.68,26.98,0.3046
KHFCMB2021S-03,2021-02-05,2021-03,58.65,26.99,0.39
KHFCMB2021S-03,2021-02-05,2021-02,58.63,26.99,0.32
KHFCMB2021S-02,2021-01-22,2022-06,59.87,27.43,0.3314
KHFCMB2021S-02,2021-01-22,2022-05,59.86,27.45,0.2452
KHFCMB2021S-02,2021-01-22,2022-04,59.86,27.45,0.2104
KHFCMB2021S-02,2021-01-22,2022-03,59.85,27.46,0.3063
KHFCMB2021S-02,2021-01-22,2022-02,59.84,27.46,0.1943
KHFCMB2021S-02,2021-01-22,2022-01,59.84,27.48,0.1979
KHFCMB2021S-02,2021-01-22,2021-12,59.83,27.48,0.2857
KHFCMB2021S-02,2021-01-22,2021-11,59.81,27.49,0.4196
KHFCMB2021S-02,2021-01-22,2021-10,59.78,27.49,0.3625
KHFCMB2021S-02,2021-01-22,2021-09,59.77,27.49,0.3437
KHFCMB2021S-02,2021-01-22,2021-08,59.75,27.5,0.3192
KHFCMB2021S-02,2021-01-22,2021-07,59.74,27.52,0.2871
KHFCMB2021S-02,2021-01-22,2021-06,59.71,27.52,0.2707
KHFCMB2021S-02,2021-01-22,2021-03,59.68,27.55,0.39
KHFCMB2021S-02,2021-01-22,2021-02,59.67,27.55,0.29
KHFCMB2021S-02,2021-01-22,2021-01,59.65,27.56,0.13
KHFCMB2021S-01,2021-01-15,2022-06,59.59,27.71,0.2693
KHFCMB2021S-01,2021-01-15,2022-05,59.58,27.72,0.2042
KHFCMB2021S-01,2021-01-15,2022-04,59.58,27.73,0.3138
KHFCMB2021S-01,2021-01-15,2022-03,59.58,27.74,0.1985
KHFCMB2021S-01,2021-01-15,2022-02,59.57,27.74,0.279
KHFCMB2021S-01,2021-01-15,2022-01,59.56,27.74,0.3299
KHFCMB2021S-01,2021-01-15,2021-12,59.54,27.76,0.2844
KHFCMB2021S-01,2021-01-15,2021-11,59.53,27.77,0.3132
KHFCMB2021S-01,2021-01-15,2021-10,59.51,27.78,0.278
KHFCMB2021S-01,2021-01-15,2021-09,59.49,27.78,0.3334
KHFCMB2021S-01,2021-01-15,2021-08,59.47,27.78,0.4218
KHFCMB2021S-01,2021-01-15,2021-07,59.46,27.8,0.3839
KHFCMB2021S-01,2021-01-15,2021-06,59.46,27.81,0.2674
KHFCMB2021S-01,2021-01-15,2021-03,59.43,27.84,0.46
KHFCMB2021S-01,2021-01-15,2021-02,59.41,27.84,0.44
KHFCMB2021S-01,2021-01-15,2021-01,59.4,27.85,0.26
KHFCMB2020S-39,2020-12-11,2022-06,58.78,26.69,0.2726
KHFCMB2020S-39,2020-12-11,2022-05,58.76,26.69,0.2387
KHFCMB2020S-39,2020-12-11,2022-04,58.73,26.69,0.2299
KHFCMB2020S-39,2020-12-11,2022-03,58.72,26.69,0.2444
KHFCMB2020S-39,2020-12-11,2022-02,58.7,26.68,0.2596
KHFCMB2020S-39,2020-12-11,2022-01,58.69,26.67,0.2389
KHFCMB2020S-39,2020-12-11,2021-12,58.67,26.67,0.202
KHFCMB2020S-39,2020-12-11,2021-11,58.65,26.67,0.3626
KHFCMB2020S-39,2020-12-11,2021-10,58.63,26.67,0.3984
KHFCMB2020S-39,2020-12-11,2021-09,58.62,26.66,0.302
KHFCMB2020S-39,2020-12-11,2021-08,58.6,26.66,0.2452
KHFCMB2020S-39,2020-12-11,2021-07,58.59,26.65,0.2538
KHFCMB2020S-39,2020-12-11,2021-06,58.58,26.63,0.3721
KHFCMB2020S-39,2020-12-11,2021-03,58.5,26.64,0.34
KHFCMB2020S-39,2020-12-11,2021-02,58.46,26.65,0.38
KHFCMB2020S-39,2020-12-11,2021-01,58.45,26.64,0.28
KHFCMB2020S-39,2020-12-11,2020-12,58.44,26.64,0.22
KHFCMB2020S-38,2020-12-04,2022-06,59.46,27.11,0.2575
KHFCMB2020S-38,2020-12-04,2022-05,59.45,27.11,0.2274
KHFCMB2020S-38,2020-12-04,2022-04,59.44,27.1,0.221
KHFCMB2020S-38,2020-12-04,2022-03,59.43,27.1,0.2823
KHFCMB2020S-38,2020-12-04,2022-02,59.42,27.11,0.2133
KHFCMB2020S-38,2020-12-04,2022-01,59.41,27.1,0.23
KHFCMB2020S-38,2020-12-04,2021-12,59.39,27.09,0.2544
KHFCMB2020S-38,2020-12-04,2021-11,59.38,27.1,0.3388
KHFCMB2020S-38,2020-12-04,2021-10,59.35,27.09,0.3616
KHFCMB2020S-38,2020-12-04,2021-09,59.33,27.09,0.3199
