,발행회차,기준월,만기전상환율,발행일자_y,가중평균발행금리
102,MBS 2004-01,2012-12,3.53,2004-06-15,5.04
103,MBS 2004-01,2013-01,4.69,2004-06-15,5.04
104,MBS 2004-01,2013-02,0.04,2004-06-15,5.04
105,MBS 2004-01,2013-03,6.1,2004-06-15,5.04
106,MBS 2004-01,2013-04,5.21,2004-06-15,5.04
107,MBS 2004-01,2013-05,5.21,2004-06-15,5.04
108,MBS 2004-01,2013-06,4.73,2004-06-15,5.04
109,MBS 2004-01,2013-07,2.44,2004-06-15,5.04
110,MBS 2004-01,2013-08,4.44,2004-06-15,5.04
111,MBS 2004-01,2013-09,3.14,2004-06-15,5.04
112,MBS 2004-01,2013-10,3.8,2004-06-15,5.04
113,MBS 2004-01,2013-11,3.94,2004-06-15,5.04
114,MBS 2004-01,2013-12,2.7,2004-06-15,5.04
115,MBS 2004-01,2014-01,2.67,2004-06-15,5.04
116,MBS 2004-01,2014-02,4.93,2004-06-15,5.04
117,MBS 2004-01,2014-03,5.97,2004-06-15,5.04
118,MBS 2004-01,2014-04,5.33,2004-06-15,5.04
119,MBS 2004-01,2014-05,5.41,2004-06-15,5.04
120,MBS 2004-01,2014-06,1.49,2004-06-15,5.04
121,MBS 2004-01,2014-07,4.84,2004-06-15,5.04
122,MBS 2004-01,2014-08,2.25,2004-06-15,5.04
123,MBS 2004-01,2014-09,5.26,2004-06-15,5.04
124,MBS 2004-01,2014-10,4.14,2004-06-15,5.04
125,MBS 2004-01,2014-11,4.89,2004-06-15,5.04
126,MBS 2004-01,2014-12,6.43,2004-06-15,5.04
127,MBS 2004-01,2015-01,2.05,2004-06-15,5.04
128,MBS 2004-01,2015-02,4.72,2004-06-15,5.04
129,MBS 2004-01,2015-03,5.96,2004-06-15,5.04
130,MBS 2004-01,2015-04,7.6,2004-06-15,5.04
131,MBS 2004-01,2015-05,6.23,2004-06-15,5.04
132,MBS 2004-01,2015-06,5.9,2004-06-15,5.04
133,MBS 2004-01,2015-07,4.34,2004-06-15,5.04
134,MBS 2004-01,2015-08,2.69,2004-06-15,5.04
135,MBS 2004-01,2015-09,2.19,2004-06-15,5.04
136,MBS 2004-01,2015-10,0.32,2004-06-15,5.04
137,MBS 2004-01,2015-11,1.81,2004-06-15,5.04
138,MBS 2004-01,2015-12,3.08,2004-06-15,5.04
139,MBS 2004-01,2016-01,2.85,2004-06-15,5.04
140,MBS 2004-01,2016-02,2.48,2004-06-15,5.04
141,MBS 2004-01,2016-03,0.0,2004-06-15,5.04
142,MBS 2004-01,2016-04,0.0,2004-06-15,5.04
143,MBS 2004-01,2020-09,0.0,2004-06-15,5.04
144,MBS 2004-01,2020-10,0.0,2004-06-15,5.04
145,MBS 2004-01,2020-11,0.0,2004-06-15,5.04
146,MBS 2004-01,2020-12,0.0,2004-06-15,5.04
147,MBS 2004-01,2021-01,0.0,2004-06-15,5.04
148,MBS 2004-01,2021-02,0.0,2004-06-15,5.04
149,MBS 2004-01,2021-03,0.0,2004-06-15,5.04
150,MBS 2004-01,2021-04,0.0,2004-06-15,5.04
151,MBS 2004-01,2021-05,0.0,2004-06-15,5.04
152,MBS 2004-01,2021-06,0.0,2004-06-15,5.04
153,MBS 2004-01,2021-07,0.0,2004-06-15,5.04
154,MBS 2004-01,2021-08,0.0,2004-06-15,5.04
155,MBS 2004-01,2021-09,0.0,2004-06-15,5.04
156,MBS 2004-01,2021-10,0.0,2004-06-15,5.04
157,MBS 2004-01,2021-11,0.0,2004-06-15,5.04
158,MBS 2004-01,2021-12,0.0,2004-06-15,5.04
159,MBS 2004-01,2022-01,0.0,2004-06-15,5.04
160,MBS 2004-01,2022-02,0.0,2004-06-15,5.04
161,MBS 2004-01,2022-03,0.0,2004-06-15,5.04
162,MBS 2004-01,2022-04,0.0,2004-06-15,5.04
163,MBS 2004-01,2022-05,0.0,2004-06-15,5.04
164,MBS 2004-01,2022-06,0.0,2004-06-15,5.04
165,MBS 2004-02,2004-07,0.18,2004-07-28,5
166,MBS 2004-02,2004-08,0.39,2004-07-28,5
167,MBS 2004-02,2004-09,0.41,2004-07-28,5
168,MBS 2004-02,2004-10,0.8,2004-07-28,5
169,MBS 2004-02,2004-11,0.49,2004-07-28,5
170,MBS 2004-02,2004-12,0.64,2004-07-28,5
