기준월,만기전상환율,가중평균발행금리,주택종합 매매가격지수,주택종합 전세가격지수,소비자물가지수,15-64 실업자 수,코스피 월별 종가,예금은행 대출금리,평균 LTV,평균 DTI,CD금리,인플레이션율,미국 실효금리
2009-03,1.5874999999999997,5.104444444444445,63.31999999999999,55.769,4.419382629550962,6.814542897259958,6.968878599956884,1.6826883741736927,59.69194444444443,33.25916666666666,0.993251773010284,0.7164790174002035,0.21999999999999995
2009-04,1.8397368421052627,4.973157894736842,63.209000000000024,55.816000000000024,4.426521874560432,6.856461984594587,7.0952799427742725,1.691939133945845,59.43789473684209,33.53736842105263,0.8960880245566363,0.2654232424677118,0.17999999999999994
2009-05,1.7602631578947365,4.973157894736842,63.247,55.91100000000004,4.429172590730825,6.831953565565855,7.2220987563874095,1.6677068205580767,59.431578947368415,33.5178947368421,0.8837675401685956,0.0,0.15000000000000008
2009-06,1.9030769230769227,4.845641025641026,63.31500000000004,56.025000000000034,4.429172590730825,6.82001636467413,7.241287483656101,1.6582280766035324,59.320000000000014,32.63333333333334,0.8796267475025628,-0.08824020414490232,0.17999999999999994
2009-07,2.0497500000000004,4.86225,63.43800000000005,56.17499999999998,4.42828979914352,6.849066282633458,7.23710938456896,1.6582280766035324,59.24649999999999,32.88550000000001,0.8796267475025628,0.3556595216498803,0.21
2009-08,1.8505000000000003,4.86225,63.61100000000001,56.366,4.431840084631592,6.814542897259958,7.3507024101103555,1.6658182458702078,59.23350000000001,32.868750000000006,0.8796267475025628,0.3543990676212468,0.1600000000000001
2009-09,1.732619047619048,4.855714285714286,63.81199999999994,56.63699999999998,4.435377810170876,6.786716950605081,7.372652140859713,1.6956156086751522,58.962857142857125,33.18976190476191,0.908258560176891,0.08887940841866095,0.1600000000000001
2009-10,1.7069767441860466,4.872790697674419,64.26800000000001,57.443999999999974,4.43626620951148,6.695798917058491,7.422457379494048,1.7526720805200087,58.956744186046485,33.17,0.9707789171582248,-0.26521744278289294,0.1500000000000001
2009-11,1.4097777777777778,4.904444444444445,64.51200000000001,57.858999999999966,4.433610511838168,6.666956792429207,7.365616739552212,1.7749523509116745,58.7611111111111,33.42577777777778,1.0260415958332751,0.1768860924793741,0.12000000000000009
2009-12,1.5065957446808511,4.808936170212766,64.67599999999996,58.18600000000001,4.435377810170876,6.698268054115413,7.349616602281592,1.7698546338400056,58.64957446808511,33.55595744680851,1.0260415958332751,0.35314751611680123,0.12000000000000009
2010-01,1.2939583333333333,4.821041666666666,64.76800000000001,58.33599999999995,4.438903064315578,6.710523109452428,7.428196524126982,1.774952350911674,58.61270833333333,33.61645833333333,1.0367368849500211,0.7900144068397026,0.12000000000000009
2010-02,1.490612244897959,4.830612244897958,64.85100000000007,58.507999999999974,4.446772165633442,6.99117688712121,7.379276506093479,1.771556761910535,58.511020408163276,33.73326530612244,1.057790294147854,0.20152077890123957,0.11000000000000004
2010-03,1.8878,4.832799999999999,65.03999999999998,58.87199999999997,4.448785345615082,6.98100574072173,7.374365657659375,1.749199854809259,58.46659999999999,33.794,1.057790294147854,0.20228476550168023,0.12999999999999992
2010-04,2.159607843137255,4.835490196078431,65.20100000000001,59.27100000000004,4.450806150068707,6.878326468291325,7.43416877808978,1.6992786164338902,58.380784313725506,33.85549019607843,1.0402767116551463,0.4025858849887964,0.16000000000000006
2010-05,2.2611764705882353,4.835490196078431,65.32700000000008,59.64300000000002,4.454823926833152,6.81783057145415,7.462536542270271,1.623340817603091,58.37901960784313,33.81647058823529,0.9202827531436931,0.10111458490719911,0.19999999999999993
2010-06,2.4392452830188684,4.74754716981132,65.35800000000005,59.885999999999974,4.455834561818602,6.659293919683638,7.403213425617006,1.5644405465033646,58.269433962264145,33.81981132075472,0.8960880245566364,-0.10101244659112397,0.19999999999999993
2010-07,3.1663636363636356,4.755454545454545,65.36499999999991,60.12300000000004,4.454823926833152,6.748759547491679,7.437377141452205,1.5303947050936482,58.157636363636364,33.93018181818182,0.8960880245566364,0.20106693320626395,0.17999999999999988
2010-08,2.323050847457627,4.589661016949152,65.30299999999991,60.28200000000004,4.456832577475124,6.805722553416985,7.472688333736299,1.547562508716012,58.153559322033885,32.80186440677966,0.9477893989335261,0.5022386155380872,0.17999999999999988
2010-09,2.1104918032786886,4.5611475409836055,65.27100000000007,60.49899999999992,4.461842393519557,6.705639094860003,7.463219604366508,1.5706970841176702,58.009999999999984,32.91262295081968,0.9669838461896723,0.7963345528408331,0.18999999999999997
2010-10,2.564838709677419,4.556774193548387,65.33300000000006,60.88700000000005,4.469774198944479,6.738152494595957,7.5351952557609065,1.5686159179138466,57.9783870967742,32.91080645161291,0.9783261227936068,0.0,0.18999999999999997
2010-11,3.2051562499999995,4.53453125,65.46900000000004,61.396999999999956,4.469774198944479,6.710523109452428,7.5405949749323264,1.556037135706986,57.81218749999999,33.04765625000001,0.9783261227936068,-0.4934907313051717,0.18999999999999997
2010-12,2.8986363636363635,4.531212121212121,65.721,62.03600000000005,4.46482707476703,6.591673732008658,7.552043042974759,1.536867219599265,57.867272727272756,33.01166666666666,1.0043016091968677,0.3969806457551821,0.18999999999999995
2011-01,2.4947826086956533,4.399275362318841,65.991,62.492000000000075,4.468789022334909,6.727431724850855,7.62608275807238,1.5411590716808055,57.9108695652174,33.00478260869566,1.0296194171811592,1.1885250598846915,0.17999999999999985
2011-02,2.4916901408450696,4.409718309859154,66.3000000000001,63.02599999999993,4.480604198034874,6.790097235513905,7.6351734429694496,1.5686159179138466,57.95816901408452,33.0874647887324,1.0750024230289774,0.6841246828561065,0.16999999999999996
2011-03,3.017916666666667,4.410694444444444,66.82999999999996,64.04599999999996,4.487422149719221,6.893656354602635,7.5700823622021955,1.581038437912404,57.9198611111111,33.15513888888888,1.141033004552061,0.38923637672681816,0.1600000000000001
2011-04,2.7627999999999986,4.343733333333333,67.48199999999999,65.16400000000006,4.491306957838517,6.921658184151129,7.652878021132424,1.587192303486779,57.81933333333334,33.263466666666645,1.208960345836974,0.09749209977812519,0.14
2011-05,2.7664935064935063,4.344285714285714,68.03699999999998,65.94700000000009,4.492281403909472,6.81783057145415,7.6927338681596895,1.5851452198650553,57.874675324675316,33.28194805194805,1.2237754316221168,0.1925552756786981,0.09999999999999985
2011-06,2.4866666666666664,4.343461538461538,68.51100000000008,66.4920000000001,4.494205105165945,6.683360945766275,7.66971464804018,1.5892352051165801,57.883589743589766,33.26397435897435,1.2412685890696333,0.19330256880119068,0.08999999999999991
2011-07,2.3427500000000014,4.342,68.84799999999997,66.92600000000004,4.4961362649639565,6.710523109452428,7.650021141172316,1.583093937094499,57.96312500000001,33.291875000000005,1.2612978709452052,0.4817664770826391,0.08999999999999991
