발행회차,발행일자,가중평균발행금리,국고채1년,국고채3년,국고채5년,국고채10년,국고채20년,국고채30년
MBS 2008-04,2008-04-15,5.81,0,0,0,0,0,0
MBS 2008-03,2008-03-27,5.88,0,0,0,0,0,0
MBS 2008-02,2008-03-07,5.46,0,0,0,0,0,0
MBS 2008-01,2008-02-26,5.66,0,0,0,0,0,0
MBS 2007-06,2007-10-25,5.86,0,0,0,0,0,0
MBS 2007-05,2007-09-20,5.73,0,0,0,0,0,0
MBS 2007-04,2007-08-23,5.52,0,0,0,0,0,0
MBS 2007-03,2007-07-11,5.7,0,0,0,0,0,0
MBS 2007-02,2007-04-24,5.27,0,0,0,0,0,0
MBS 2007-01,2007-02-21,5.17,0,0,0,0,0,0
MBS 2006-05,2006-12-15,5.09,0,0,0,0,0,0
MBS 2006-04,2006-09-26,5.02,0,0,0,0,0,0
MBS 2006-03,2006-07-14,5.4,0,0,0,0,0,0
MBS 2006-02,2006-03-30,5.62,0,0,0,0,0,0
MBS 2006-01,2006-01-26,5.72,0,0,0,0,0,0
MBS 2005-09,2005-11-10,5.87,0,0,0,0,0,0
MBS 2005-08,2005-09-29,5.56,0,0,0,0,0,0
MBS 2005-07,2005-08-30,5.16,0,0,0,0,0,0
MBS 2005-06,2005-07-27,4.89,0,0,0,0,0,0
MBS 2005-05,2005-06-27,4.72,0,0,0,0,0,0
MBS 2005-04,2005-05-25,4.41,0,0,0,0,0,0
MBS 2005-03,2005-04-28,4.71,0,0,0,0,0,0
MBS 2005-02,2005-03-23,4.84,0,0,0,0,0,0
MBS 2005-01,2005-02-24,5.18,0,0,0,0,0,0
MBS 2004-07,2004-12-28,4.06,0,0,0,0,0,0
MBS 2004-06,2004-11-30,4.09,0,0,0,0,0,0
MBS 2004-05,2004-10-28,4.2,0,0,0,0,0,0
MBS 2004-04,2004-09-23,4.26,0,0,0,0,0,0
MBS 2004-03,2004-08-18,4.5,0,0,0,0,0,0
MBS 2004-02,2004-07-28,5,0,0,0,0,0,0
MBS 2004-01,2004-06-15,5.04,0,0,0,0,0,0
